ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			acquire  (verbo) 		akiri	Bertin	TekVort									verwerven	100%	Van Dale			verkrijgen		verbe	obtenir											
			acquisition (subst.) 		akiro	Bertin										verwerving																			
			acquisition date (subst.) 		akirdato											verwervingsdatum								date d'acquisition								Anschaffungsdatum			
			acronym (subst.) 		akronimo	Vikipedio									het	acroniem	100%	ICT VNU					un	acronyme											
			action (subst.) 		ago										de	handeling		Adobe					une	action								Aktivität			
			action bar (subst.) 		agobreto					agotrabo					de	menubalk	100%	ICT VNU	Verklar																
			action button (subst.) 		agobutono											actieknop								bouton d'action								interaktive Schaltfläche			
			action page (subst.) 		agopaĝo / agopagxo											actiepagina								page d'action								Aktionsseite			
			action query (subst.) 		aktiva informpeto											actiequery								requête Action								Aktionsabfrage			
			action row (subst.) 		rikordo											actierij								ligne d'action								Aktionszeile			
			action statement (subst.) 		ag-ordono	Maŭro										instructie								instruction d'action								Anweisung			
			action table (subst.) 		rikordaro											actietabel								table d'action								Aktionstabelle			
			action type (subst.) 		agospeco											actietype								type d'action								Aktivitätstyp			
			activate (verbo) 		aktivigi	Bertin	KDE			ŝalti	OOo					activeren	100%	Van Dale					verbe	activer								aktivieren			
			activation (subst.) 		aktivigo	Bertin									de	activering		Microsoft					une	activation								Aktivierung			
			active (adj.) 		aktiva											actief								actif								aktiv			
			active cell (subst.) 		aktiva ĉelo / aktiva cxelo											actieve cel								cellule active								aktive Zelle			
			active content (subst.) 		aktiva enhavo											actieve inhoud								contenu actif								aktiver Inhalt			
			active control (subst.) 		aktiva stirilo											actief besturingselement								contrôle actif								aktives Steuerelement			
			active desktop (subst.) 		aktiva labortablo										de	active desktop	100%	ICT VNU					un	bureau actif											
			active directory (subst.) 		aktiva dosierujo										de	active directory	100%	ICT VNU					un	dossier actif											
			active document (subst.) 		aktiva dokumento											actief document								document actif								aktives Dokument			
			active link (subst.) 		aktiva ligilo	OOo									de	actieve koppeling	100%						un	lien actif											
			active partition (subst.) 		aktiva subdisko											actieve partitie								partition active								aktive Partition			
			active script (subst.) 		aktiva skripto											actief script								script actif								Active Script			
			Active Server Pages (ASP) (subst.) 		Aktivaj Servil-Paĝoj / Aktivaj Servil-Pagxoj										de	active server pages	100%	ICT VNU																	
			active sheet (subst.) 		aktiva folio											actief blad								feuille active								aktives Blatt			
			active window (subst.) 		aktiva fenestro	OOo									het	werkvenster	100%	ICT VNU	Verklar				une	fenêtre active											
			ActiveX component (subst.) 		ActiveX-elemento											ActiveX-onderdeel								composant ActiveX								ActiveX-Komponente			
			ActiveX control (subst.) 		ActiveX-stirilo											ActiveX-besturingselement								contrôle ActiveX								ActiveX-Steuerelement			
			ActiveX Data Objects (subst.) 		ActiveX-datumobjektoj											ActiveX-gegevensobjecten																ActiveX Data Objects			
			ActiveX object (subst.) 		ActiveX-objekto											ActiveX-object								objet ActiveX								ActiveX-Objekt			
			actual address (subst.) 		fakta adreso	Bertin										feitelijke adres																			
			ad (subst.) 		reklamo	Edmundo										advertentie								publicité								Anzeige			
			ad blocker (subst.) 		reklamoblokilo											advertentieblokkering								bloqueur de publicité								Anzeigenblocker			
			ad click (subst.) 		alklako sur reklamo											advertentieklik								clic sur publicité								Anzeigenklick			
			ad click rate (subst.) 		ofteco de alklakado sur reklamo											advertentieklikfrequentie								taux de clics sur publicité								Anzeigenklickrate			
			ad display (subst.) 		reklamoaperigo											advertentieweergave																			
			ad hoc network (subst.) 		porokaza loka reto	Edmundo										tijdelijk netwerk								réseau ad hoc								Ad-hoc-Netzwerk			
			ad hoc query (subst.) 		dinamika informpeto																														
			ad hoc testing (subst.) 		neformala testado																														
			ad killer (subst.) 		reklamoforigilo																														
			ad window (subst.) 		reklamofenestro											advertentievenster																Anzeigenfenster			
			adapt (verbo) 		adapti											aanpassen	100%	ICT VNU					verbe	adapter											
			adaptability (subst.) 		adapteblo											aanpasbaarheid																			
			adapter (subst.) 		adaptilo	KompLeks	Bertin	TekVort							de	adapter	100%						un	adaptateur								Adapter			
			adapter card (subst.) 		adaptila karto											adapterkaart								carte adaptateur								Adapterkarte			
			adapter framework (subst.) 		adaptila framo																			infrastructure d'adaptateurs								Adapterframework			
			adaptive format (subst.) 		adaptiĝa aranĝo / adaptigxa arangxo											schermafhankelijke opmaak																adaptives Format			
			add (verbo) 		aldoni											toevoegen								ajouter								hinzufügen			
			added value (subst.) 		aldona valoro										de	toegevoegde waarde	100%	Verklar					une	valeur ajoutée											
			addendum (subst.) 		aldono										het 	addendum																			
			adder (subst.) 		adiciilo	Bertin																													
			add-in (add in) (adj.) 		kromprogramo	Firefox				aldonaĵo	Ooo					invoegtoepassing								complément											
			addition (subst.) 		adicio	Bertin										optelling																			
			additional display (subst.) 		kroma ekrano											extra beeldscherm								moniteur supplémentaire								Zusatzbildschirm			
			add-on (adj.) 		aldonaĵo / aldonajxo					helpprogramo	Lode VDV					hulp-	100%	ICT VNU			uitbreiding-	ICT VNU		additionnel											
			add-on device (subst.) 		kroma aparato											uitbreidingskaart								composant additionnel								Zusatzgerät			
			address (subst.) 		adreso	PIV2002	ReVo	Bertin							het	adres	100%						une	adresse								Adresse			
			address (verbo) 		adresi											adresseren																			
			address assignment  (subst.) 		adresatribuo	TekVort									de	adrestoekenning	100%						un	assignement d'adresse											
			address bar (subst.) 		adresbreto											adresbalk								barre d'adresses								Adressleiste			
			address book (addressbook) (subst.) 		adresaro	OOo	KDE	FEL							het	adresboek	100%	Telenet					une	carnet d'adresses								Adressbuch			
			address bus (addressbus) (subst.) 		adresbuso	KompLeks	Bertin	TekVort							de	adresbus	100%	Verklar																	
			address field (addressfiel) (subst.) 		adreskampo	OOo				adresparto	KompLeks				het	adresveld	100%																		
			address list (addresslist) (subst.) 		adresaro	TekVort									de	adreslijst	100%						une	liste d'adresses								Adressliste			
			address pool (subst.) 		adresgrupo											adresgroep								pool d'adresses											
			address register  (subst.) 		adresreĝistro / adresregxistro	TekVort										adresregister																			
			address space  (subst.) 		adresospaco	TekVort									de	adresruimte	100%	ICT VNU																	
			address translation (subst.) 		adrestraduko										de	adresvertaling	100%	Verklar																	
			addressee  (subst.) 		adresato	OOo	TekVort								de	bestemmeling	100%	Mozilla			geadresseerde	ICT VNU													
			addressing (subst.) 		adresado	Bertin										adressering																			
			adjacent (adj.) 		najbara					apuda						aangrenzend	100%	ICT VNU					adj.	adjacent											
			adjust (verbo) 		ĝustigi / gxustigi	Bertin				akomodi	KompLeks		modifi	OOo		aanpassen	100%	ICT VNU			corrigeren	ICT VNU	verbe	ajuster											
			adjustment  (subst.) 		ĝustigo / gxustigo	Bertin				akomodigo						aanpassing	100%	ICT VNU					un	ajustement											
			adjustment handle (subst.) 		ĝustiga tenilo / gxustiga tenilo											aanpassingsgreep								poignée de réglage								Anpassungsziehpunkt			
			adjustment layer (subst.) 		ĝustiga tavolo / gxustiga tavolo					akomoda tavolo					de	aanpassingslaag		Adobe																	
			administration  (subst.) 		administrado	TekVort									het	beheer	100%				administratie	ICT VNU	une	administration											
			administration queue (subst.) 		administra atendovico	Maŭro										beheerwachtrij								file d'administration								Verwaltungswarteschlange			
			administrative credentials (subst.) 		administra legitimaĵo / administra legitimajxo											beheerdersreferenties								informations d'identification d'administration								administrative Anmeldeinformationen			
			administrative setup (subst.) 		administra agordo											setup in beheerdersmodus								installation administrative								Administratorsetup			
			administrative tools (subst.) 		administra ilaro										het	systeembeheer	100%	ICT VNU					un	outils d'administration											
			administrative vulnerability (subst.) 		administra atakeblo	Maŭro										probleem met beveiligingsbeheer								vulnérabilité d'administration								administratives Sicherheitsrisiko			
			administrator  (subst.) 		administranto	OOo									de	beheerder	100%	ICT VNU					un	administrateur								Administrator			
			administrator account (subst.) 		konto de administranto											beheerdersaccount								compte d'administrateur								Administratorkonto			
			administrator role (subst.) 		rolo de administranto											beheerdersrol								rôle d'administrateur								Administratorrolle, Administratorfunktion			
			administer (verbo) 		administri	Drupalo										beheren																			
			admission control (subst.) 		atinga kontrolo											toegangsbeheer								contrôle d'admission								Zugangssteuerung			
			adoption rate (subst.) 		alprena rapido																														
			adornment (subst.) 		grafika elemento											grafisch element																			
			advance (increase) (verbo) 		kreskigi	Bertin																													
			advance (move) (verbo) 		movi	Bertin																													
			advanced (adj.) 		speciala	OOo				progresinta	Maŭro					geavanceerd	100%	ICT VNU					adj.	avancé											
			advanced filter (subst.) 		speciala filtrilo	OOo										geavanceerde filter							un	filtres avancés											
			advanced mapping (subst.) 		speciala mapigo																			mappage avancé											
			advanced power management (subst.) 		altnivela energiadministrado																			gestion avancée de l'alimentation											
			advanced search (subst.) 		detala serĉo / detala sercxo	KDE										geavanceerde zoekopdracht																			
			advanced user (subst.) 		spertulo											gevorderd gebruiker																			
			advertising banner (subst.) 		reklamrubando	KompLeks										reclamebanner		Wikipedia					un	bandeau publicitaire	100	Dictionnaire quadrilingue									
			advertising button (subst.) 		reklambutono											reclameknop							un	bouton publicitaire		Dictionnaire quadrilingue									
			adware (advertizing software, advertising software) (subst.) 		reklamprogramaro	tradukado																	un	programme publicitaire											
			affiliation program (subst.) 		partnera programo	Lode VDV																	un	programme d'affiliation		Dictionnaire quadrilingue									
			affirmative response (subst.) 		jeso	KompLeks										bevestigend antwoord							une	réponse affirmative											
			agile software development (subst.) 		agila programado											Agile-software-ontwikkeling																			
			agile testing (subst.) 		agila testado																														
			aggregate (verbo) 		kolekti	Chuck Smith				kunmetita	Lode VDV					samengesteld	100%	ICT VNU					verbe	collecter											
			aid (subst.) 		helpo	Bertin				konsilo	Bertin					hulp																			
			aim (verbo) 		celi											richten																			
			air conditioning (airconditioning) (subst.) 		klimatizilo					klimatizado	Bertin				de	klimaatregeling	100%	Van Dale					un	climatiseur											
			air vent (subst.) 		aerklapo	Lode VDV																													
			airbrush (subst.) 		ŝprucpistolo / sxprucpistolo	OOo									het	spuitpistool	100%	Van Dale																	
			alert  (verbo) 		pepi					averti						waarschuwen	100%	ICT VNU					verbe	alerter											
			alert  (subst.) 		pepo	KompLeks	Aleksej Timin	TekVort		averto					de	waarschuwing	100%	ICT VNU					une	alerte						arnung		Warnung			
			alert box (alertbox) (subst.) 		averta fenestro										het	berichtvak	100%	ICT VNU					une	fenêtre d'alerte											
			alert message (subst.) 		averta mesaĝo / averta mesagxo										de	waarschuwing	100%	ICT VNU					un	message d'alerte											
			algebraic symbol manipulation (subst.) 		komputila algebro	KompLeks	Aleksej Timin																												
			algebraic symbol manipulation system (subst.) 		algebrilo	KompLeks	Aleksej Timin																												
			algorithm (subst.) 		algoritmo	PIV2002	KompLeks	ReVo	Bertin						het	algoritme	100%	ICT VNU					un	algorithme								Algorithmus			
			algorithmic (adj.) 		algoritma	Bertin																													
			alias (link to file) (subst.) 		simbola ligilo	KompLeks									de	alias	100%	ICT VNU	Adobe				un	lien symbolique											
			alias (person) (subst.) 		kromnomo	KompLeks																	un	pseudonyme											
			aliasing (subst.) 		kromnomado											aliasing	100%	ICT VNU																	
			align (verbo) 		ĝisrandigi / gxisrandigi	OOo				rektigi	PIV2002					uitlijnen	100%	ICT VNU					verbe	aligner								ausrichten			
			align bottom (subst.) 		ĝisrandigi malsupren / gxisrandigi malsupren	OOo										onderaan uitlijnen	100%						verbe	aligner en bas											
			align center (subst.) 		centrigo	Maŭro										centreren	100%						verbe	centrer											
			align center horizontally (subst.) 		horizontala centrigo	Maŭro										horizontaal uitlijnen	100%						verbe	centrer honrizontalement											
			align center vertically (subst.) 		vertikala centrigo	Maŭro																	verbe	centrer verticalement											
			align centered (subst.) 		centrigo	Maŭro																	verbe	centrer											
			align left (subst.) 		ĝisrandigi maldekstren / gxisrandigi maldekstren	OOo																	verbe	aligner à gauche											
			align middle (subst.) 		centrigo	Maŭro																	verbe	centrer											
			align right (subst.) 		ĝisrandigi dekstren / gxisrandigi dekstren	OOo																	verbe	aligner à droite											
			align to grid (subst.) 		alkradigi	Maŭro																	verbe	aligner selon la grille											
			align to top (subst.) 		ĝisrandigi supren / gxisrandigi supren	OOo																	verbe	aligner en haut											
			alignment  (subst.) 		ĝisrandigo / gxisrandigo	TekVort									de	uitlijning	100%	ICT VNU					un	alignement								Ausrichtung			
			all caps (subst.) 		nur majuskloj											hoofdletters	100%	ICT VNU					-	tout en majuscule					casse haute						
			all-in-one (adj.) 		ĉio-en-unu / cxio-en-unu											alles-in-één	100%		Epson				adj.	tout en un											
			allocate  (verbo) 		asigni	PIV2002	Edmundo									toewijzen	100%	ICT VNU					verbe	attribuer					alloquer			zuordnen			
			allocation (subst.) 		asigno	PIV2002									de	toewijzing	100%	ICT VNU					une	attribuation					allocation			Arbeitsspeicherreservierung			
			allocation unit (subst.) 		asigna unuo										de	toewijzingseenheid	100%	ICT VNU					une	unité d'allocation					unité d'attribution			Zuordnungseinheit			
			allow (verbo) 		permesi	OOo	Abiword									toestaan							verbe	permettre								zulassen			
			alpha (adj.) 		alfa											alfa								alpha								Alpha			
			alpha release (subst.) 		alfa-eldono	Bertilo									de	alfarelease	80%						une	version alpha											
			alpha testing (subst.) 		alfa-testado	Bertilo																													
			alpha version (subst.) 		alfa-versio	Bertilo										alfaversie								version alpha								Alphaversion			
			alphabetic (adj.) 		alfabeta	Bertin										alfabetisch								alphabétique								alphabetisch			
			alphanumeric  (adj.) 		litercifera	PIV2002	KompLeks	OOo		alfanumera	Pekoteko					alfanumeriek	100%	ICT VNU					adj.	alphanumérique											
			Alt key (subst.) 		Alt-klavo	KDE				alternativa registrumo	KompLeks					Alt-toets								touche Alt								Alt-Taste			
			alter  (verbo) 		modifi	Bertin				ŝanĝiĝi	TekVort					veranderen	100%	ICT VNU			wijzigen	ICT VNU													
			alteration (subst.) 		modifo	Bertin																													
			alternate  (verbo) 		alterni	TekVort										afwisselen	100%	ICT VNU			verwisselen	ICT VNU													
			alternate current (subst.) 		alterna kurento	Bertin																													
			alternating (alternate) (adj.) 		alterna	Bertin	TekVort									afwisselend																			
			alternating group  (subst.) 		alterna grupo	TekVort																													
			always on top (adj.) 		ĉiamvidebligi / cxiamvidebligi	Maŭro										altijd op voorgrond								toujours visible								immer im Vordergrund			
			ambiguity (subst.) 		plursenceco																														
			ambiguous (adj.) 		plursenca	KompLeks				ambigua	KompLeks					ambigu																			
			amount (subst.) 		sumo	Bertin										bedrag																			
			ampersand (subst.) 		kaj-signo	ReVo	Pekoteko			perlueto	KompLeks												une	eperluette					perluète			kaufmännisches Und-Zeichen			
			amplification (subst.) 		amplifo	PIV2002									de	versterking	100%	ICT VNU					une	amplification											
			amplifier  (subst.) 		amplifilo	PIV2002	Bertin								de	versterker	100%	ICT VNU					verbe	amplifier											
			amplify (verbo) 		amplifi	PIV2002										versterken	100%	ICT VNU					un	amplificateur											
			analog (analogue) (adj.) 		analoga	PIV2002	KompLeks	Bertin	TekVort							analoog	100%	Taalunie	ICT VNU				adj.	analogique								analog			
			analog-to-digital converter (subst.) 		ciferecigilo	KompLeks										analoog-digitaal omvormer	100%	Vlietstra			A/D-omzetter	ICT VNU													
			analysis  (subst.) 		analizo	Bertin									de	analyse	100%	ICT VNU					une	analyse								Analyse			
			analyst (subst.) 		analizisto	Bertin										analist																			
			analytic  (adj.) 		analiza	Lode VDV										analytisch	100%						adj.	analiste											
			analyzability (subst.) 		analizeblo																														
			analyzer (analyser) (subst.) 		analizilo	KompLeks	ReVo	Bertin							het	meetinstrument	100%	ICT VNU					verbe	analyser											
			ancestor (subst.) 		praulo											bovenliggend element								ancêtre								übergeordnetes Element			
			ancestor element (subst.) 		praula elemento	Edmundo										bovenliggend element								élément ancêtre								übergeordnetes Element			
			anchor (subst.) 		ankro	KompLeks	OOo	FEL							het	fixeerpunt	100%	ICT VNU			anker		une	ancre								Textmarke			
			anchor cell (subst.) 		ankra ĉelo / ankra cxelo										de	ankercel	100%	ICT VNU					une	cellule d'ancrage											
			anchor plugin (subst.) 		ankra kromprogramo											ankerinvoegtoepassing								plug-in d'ancrage								Anker-Plug-In			
			anchor point (subst.) 		ankra punkto										het	ankerpunt	100%	ICT VNU					un	point d'ancrage								Ankerpunkt			
			anchor window (subst.) 		ankra fenestro											schakelpictogram								fenêtre d'ancrage								Anchorfenster			
			ancillary (adj.) 		helpa	Bertin																													
			angle brackets (subst.) 		angulaj krampoj											punthaken								signes « inférieur à » et « supérieur à »								spitze Klammer			
			animated advertisement (subst.) 		movbilda anonco											geanimeerde advertentie								publicité animée								animierte Werbung			
			animated button (subst.) 		movbutono ?																		un	bouton animé											
			animated GIF (subst.) 		GIF-movbildo											GIF-animatie								image GIF animée								animiertes GIF			
			animated image (subst.) 		movbildo										het	bewegend beeld	80%						une	image animée											
			animation (subst.) 		movbildo					animacio	ReVo					animatie							une	animation								Animation			
			annotate (verbo) 		prinoti	NL-EO 4				komenti						optekenen		Van Dale			annoteren	Van Dale	verbe	annoter											
			annotation (subst.) 		prinoto	NL-EO 4				komento	Bertin				de	aantekening	80%	Van Dale	ICT VNU		annotatie	Van Dale	une	annotation								Anmerkung			
			anomaly (subst.) 		nenormalaĵo / nenormalajxo	Bertin										anomalie																			
			anonymous  (adj.) 		sennoma					anonima						anoniem	100%						adj.	anonyme								anonym			
			anonymous FTP (subst.) 		sennoma FTP					anonima FTP	KompLeks				de	anonieme FTP	100%						le	téléchargement ouvert								anonymer FTP			
			anonymous FTP authentication (subst.) 		sennoma FTP-aŭtentigo / sennoma FTP-auxtentigo											anonieme FTP-verificatie								authentification FTP anonyme								anonyme FTP-Authentifizierung			
			anonymous logon (subst.) 		sennoma ensaluto					senrekona ensaluto	Maŭro					anonieme aanmelding								ouverture de session anonyme								Anonyme Anmeldung			
			anonymous user (subst.) 		sennoma uzanto											anonieme gebruiker								utilisateur anonyme								anonymer Benutzer			
			anonymous user access (subst.) 		atingo de sennoma uzanto											anonieme gebruikerstoegang								accès utilisateur anonyme								anonymer Benutzerzugriff			
			ANSI character set (subst.) 		ANSI-signaro											ANSI-tekenset								jeu de caractères ANSI								ANSI-Zeichensatz			
			answer file (subst.) 		respondodosiero											antwoordbestand								fichier de réponses								Antwortdatei			
			answering tool (subst.) 		respondilo										het	antwoordsignaal	100%	ICT VNU					un	répondeur											
			anti spam (subst.) 		kontraŭspamilo / kontrauxspamilo										de	ongewenste berichtenverwerking	80%	Mozilla					un	anti-spam											
			anti-aliasing (anti aliasing, antialiasing) (subst.) 		glatigo	KompLeks	KDE								de	antialiasing	100%	ICT VNU					un	anticrénelage								Antialiasing			
			anti-piracy system (subst.) 		kontraŭpirata sistemo / kontrauxpirata sistemo										het	antipiraterijsysteem		zdnet.nl	tweakers.net				un	système anti-pirate											
